Stock,yr,ct,bt
Sole_sol_AD,1972,1719,NA
Sole_sol_AD,1973,1769,NA
Sole_sol_AD,1974,1957,NA
Sole_sol_AD,1975,1826,NA
Sole_sol_AD,1976,2238,NA
Sole_sol_AD,1977,2538,NA
Sole_sol_AD,1978,2165,NA
Sole_sol_AD,1979,2890,NA
Sole_sol_AD,1980,2235,NA
Sole_sol_AD,1981,1123,NA
Sole_sol_AD,1982,1213,NA
Sole_sol_AD,1983,1652,NA
Sole_sol_AD,1984,1416,NA
Sole_sol_AD,1985,1547,NA
Sole_sol_AD,1986,1592,NA
Sole_sol_AD,1987,2653,NA
Sole_sol_AD,1988,1995,NA
Sole_sol_AD,1989,1890,NA
Sole_sol_AD,1990,1235,NA
Sole_sol_AD,1991,1177,NA
Sole_sol_AD,1992,1900,NA
Sole_sol_AD,1993,2013,NA
Sole_sol_AD,1994,2292,NA
Sole_sol_AD,1995,1971,NA
Sole_sol_AD,1996,1220,NA
Sole_sol_AD,1997,1250,NA
Sole_sol_AD,1998,1183,NA
Sole_sol_AD,1999,1278,NA
Sole_sol_AD,2000,1036,NA
Sole_sol_AD,2001,1104,NA
Sole_sol_AD,2002,1075,NA
Sole_sol_AD,2003,2107,NA
Sole_sol_AD,2004,1822,NA
Sole_sol_AD,2005,1994,26.17
Sole_sol_AD,2006,2022,32.54
Sole_sol_AD,2007,1588,36.43
Sole_sol_AD,2008,1325,29
Sole_sol_AD,2009,1954,22.4
Sole_sol_AD,2010,1614,26.63
Sole_sol_AD,2011,1589,28.91
Sole_sol_AD,2012,1859,41.98
Sole_sol_AD,2013,1253,50.03
Sole_sol_AD,2014,2048,89.98
Sole_sol_AD,2015,2150.97249,60.54
